Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Extension Fracture;163.0955529;90;;;;;;;
Extension Fracture;163.0563909;90;;;;;;;
Extension Fracture;163.0955529;90;;;;;;;
Extension Fracture;163.0563909;90;;;;;;;
Extension Fracture;157.8882598;90;;;;;;;
Extension Fracture;157.8882598;90;;;;;;;
Extension Fracture;147.2573169;90;;;;;;;
Extension Fracture;160.2062009;90;;;;;;;
Extension Fracture;160.2062009;90;;;;;;;
Extension Fracture;147.2573169;90;;;;;;;
Extension Fracture;171.6333829;90;;;;;;;
Extension Fracture;171.6333829;90;;;;;;;
Extension Fracture;171.0490942;90;;;;;;;
Extension Fracture;171.049245;90;;;;;;;
Extension Fracture;165.8226875;90;;;;;;;
Extension Fracture;171.0490942;90;;;;;;;
Extension Fracture;171.049245;90;;;;;;;
Extension Fracture;167.7503151;90;;;;;;;
Extension Fracture;165.8226875;90;;;;;;;
Extension Fracture;167.7503151;90;;;;;;;
Extension Fracture;164.8015347;90;;;;;;;
Extension Fracture;160.8764409;90;;;;;;;
Extension Fracture;164.8015347;90;;;;;;;
Extension Fracture;160.8764409;90;;;;;;;
Extension Fracture;147.0158214;90;;;;;;;
Extension Fracture;147.0158214;90;;;;;;;
Extension Fracture;147.0471382;90;;;;;;;
Extension Fracture;147.0471382;90;;;;;;;
Extension Fracture;139.5519723;90;;;;;;;
Extension Fracture;139.5519723;90;;;;;;;
Extension Fracture;139.5992652;90;;;;;;;
Extension Fracture;139.5992652;90;;;;;;;
Extension Fracture;159.5677474;90;;;;;;;
Extension Fracture;159.6046969;90;;;;;;;
Extension Fracture;159.5677474;90;;;;;;;
Extension Fracture;159.6046969;90;;;;;;;
Extension Fracture;153.8459042;90;;;;;;;
Extension Fracture;153.8459042;90;;;;;;;
Extension Fracture;147.2839233;90;;;;;;;
Extension Fracture;147.2839233;90;;;;;;;
Extension Fracture;172.7395983;90;;;;;;;
Extension Fracture;172.7395983;90;;;;;;;
Extension Fracture;172.7395983;90;;;;;;;
Extension Fracture;172.7395983;90;;;;;;;
Extension Fracture;147.9263844;90;;;;;;;
Extension Fracture;132.8118539;90;;;;;;;
Extension Fracture;140.8418984;90;;;;;;;
Extension Fracture;132.8118539;90;;;;;;;
Extension Fracture;147.9263844;90;;;;;;;
Extension Fracture;132.8125206;90;;;;;;;
Extension Fracture;147.9245783;90;;;;;;;
Extension Fracture;147.9245783;90;;;;;;;
Extension Fracture;132.8125206;90;;;;;;;
Extension Fracture;140.8418984;90;;;;;;;
Extension Fracture;148.6482056;90;;;;;;;
Extension Fracture;148.6482056;90;;;;;;;
Extension Fracture;173.3392319;90;;;;;;;
Extension Fracture;173.3066941;90;;;;;;;
Extension Fracture;173.3066941;90;;;;;;;
Extension Fracture;173.3392319;90;;;;;;;
Extension Fracture;161.9594622;90;;;;;;;
Extension Fracture;162.0048918;90;;;;;;;
Extension Fracture;161.9594622;90;;;;;;;
Extension Fracture;162.0048918;90;;;;;;;
Extension Fracture;190.4024621;90;;;;;;;
Extension Fracture;190.4002134;90;;;;;;;
Extension Fracture;190.4002134;90;;;;;;;
Extension Fracture;190.4024621;90;;;;;;;
Extension Fracture;178.729083;90;;;;;;;
Extension Fracture;178.729083;90;;;;;;;
Extension Fracture;178.7822278;90;;;;;;;
Extension Fracture;178.7822278;90;;;;;;;
Extension Fracture;167.9475384;90;;;;;;;
Extension Fracture;167.9428753;90;;;;;;;
Extension Fracture;167.9428753;90;;;;;;;
Extension Fracture;167.9475384;90;;;;;;;
Extension Fracture;175.1608922;90;;;;;;;
Extension Fracture;175.1608922;90;;;;;;;
Extension Fracture;175.1198024;90;;;;;;;
Extension Fracture;175.1198024;90;;;;;;;
Extension Fracture;181.1019017;90;;;;;;;
Extension Fracture;174.9889049;90;;;;;;;
Extension Fracture;181.1019017;90;;;;;;;
Extension Fracture;174.9889049;90;;;;;;;
Extension Fracture;156.4433785;90;;;;;;;
Extension Fracture;156.4125362;90;;;;;;;
Extension Fracture;156.4125362;90;;;;;;;
Extension Fracture;156.4433785;90;;;;;;;
Extension Fracture;166.4881205;90;;;;;;;
Extension Fracture;166.4964654;90;;;;;;;
Extension Fracture;166.4881205;90;;;;;;;
Extension Fracture;166.4964654;90;;;;;;;
Extension Fracture;175.2277391;90;;;;;;;
Extension Fracture;175.2228442;90;;;;;;;
Extension Fracture;175.2228442;90;;;;;;;
Extension Fracture;175.2277391;90;;;;;;;
Extension Fracture;341.9088281;90;;;;;;;
Extension Fracture;347.8744007;90;;;;;;;
Extension Fracture;347.8744007;90;;;;;;;
Extension Fracture;341.9088281;90;;;;;;;
Extension Fracture;171.9766308;90;;;;;;;
Extension Fracture;171.9361045;90;;;;;;;
Extension Fracture;171.9361045;90;;;;;;;
Extension Fracture;171.9766308;90;;;;;;;
Extension Fracture;145.2895368;90;;;;;;;
Extension Fracture;145.2895368;90;;;;;;;
Extension Fracture;176.9582149;90;;;;;;;
Extension Fracture;174.5471552;90;;;;;;;
Extension Fracture;176.9582149;90;;;;;;;
Extension Fracture;174.5471552;90;;;;;;;
Extension Fracture;168.2490895;90;;;;;;;
Extension Fracture;174.2365366;90;;;;;;;
Extension Fracture;174.2365366;90;;;;;;;
Extension Fracture;168.2490895;90;;;;;;;
Extension Fracture;348.0705311;90;;;;;;;
Extension Fracture;348.068569;90;;;;;;;
Extension Fracture;348.068569;90;;;;;;;
Extension Fracture;348.0705311;90;;;;;;;
Extension Fracture;161.450857;90;;;;;;;
Extension Fracture;161.450857;90;;;;;;;
Extension Fracture;161.9000534;90;;;;;;;
Extension Fracture;161.9000534;90;;;;;;;
Extension Fracture;165.0586332;90;;;;;;;
Extension Fracture;165.0586332;90;;;;;;;
Extension Fracture;165.1010855;90;;;;;;;
Extension Fracture;165.1010855;90;;;;;;;
Extension Fracture;163.0577178;90;;;;;;;
Extension Fracture;163.0930643;90;;;;;;;
Extension Fracture;163.0577178;90;;;;;;;
Extension Fracture;163.0930643;90;;;;;;;
Extension Fracture;177.9464683;90;;;;;;;
Extension Fracture;182.0534056;90;;;;;;;
Extension Fracture;182.0534056;90;;;;;;;
Extension Fracture;177.9464683;90;;;;;;;
